proposition,anomalie,date,journal,libelle,certitude,question_prealable,contre_passation_le,compte,tiers,debit,credit,note
P-16,ANO-22,2026-08-01,OD,Contre-passation FNP REDEC juillet (oubliée),certaine,,,4417,,4560.00,0.00,
P-16,ANO-22,2026-08-01,OD,Contre-passation FNP REDEC juillet (oubliée),certaine,,,61251,,0.00,4000.00,
P-16,ANO-22,2026-08-01,OD,Contre-passation FNP REDEC juillet (oubliée),certaine,,,3458,,0.00,560.00,
P-17,ANO-23,2026-08-31,OD,FNP REDEC électricité août,certaine,,2026-09-01,61251,,4500.00,0.00,
P-17,ANO-23,2026-08-31,OD,FNP REDEC électricité août,certaine,,2026-09-01,3458,,630.00,0.00,
P-17,ANO-23,2026-08-31,OD,FNP REDEC électricité août,certaine,,2026-09-01,4417,,0.00,5130.00,
P-18,ANO-24,2026-08-31,OD,FNP honoraires Cabinet Juridique Nour — août,certaine,,2026-09-01,61365,,8000.00,0.00,
P-18,ANO-24,2026-08-31,OD,FNP honoraires Cabinet Juridique Nour — août,certaine,,2026-09-01,3458,,1600.00,0.00,
P-18,ANO-24,2026-08-31,OD,FNP honoraires Cabinet Juridique Nour — août,certaine,,2026-09-01,4417,,0.00,9600.00,
P-19,ANO-25,2026-08-31,OD,FAE installation Clinique Al Amal réceptionnée le 28/08,certaine,,2026-09-01,3427,,54000.00,0.00,
P-19,ANO-25,2026-08-31,OD,FAE installation Clinique Al Amal réceptionnée le 28/08,certaine,,2026-09-01,7124,,0.00,45000.00,
P-19,ANO-25,2026-08-31,OD,FAE installation Clinique Al Amal réceptionnée le 28/08,certaine,,2026-09-01,4458,,0.00,9000.00,
P-20,ANO-26,2026-08-31,OD,PCA contrat maintenance Riad Zitoun (sept. 2026 → févr. 2027),certaine,,,7124,,36000.00,0.00,
P-20,ANO-26,2026-08-31,OD,PCA contrat maintenance Riad Zitoun (sept. 2026 → févr. 2027),certaine,,,4491,,0.00,36000.00,
P-21,ANO-27,2026-08-31,OD,CCA abonnement SoftCloud (11 mois sur 12),certaine,,,3491,,33000.00,0.00,
P-21,ANO-27,2026-08-31,OD,CCA abonnement SoftCloud (11 mois sur 12),certaine,,,6131,,0.00,33000.00,
P-22,ANO-28,2026-08-31,OD,Reprise mensuelle CCA assurance flotte,certaine,,,6134,,1850.00,0.00,
P-22,ANO-28,2026-08-31,OD,Reprise mensuelle CCA assurance flotte,certaine,,,3491,,0.00,1850.00,
P-23,ANO-29,2026-08-31,OD,Intérêts courus prêt 77120 du 06/08 au 31/08,certaine,,2026-09-01,6311,,2065.28,0.00,
P-23,ANO-29,2026-08-31,OD,Intérêts courus prêt 77120 du 06/08 au 31/08,certaine,,2026-09-01,4493,,0.00,2065.28,
P-24,ANO-30,2026-08-05,OD,Échéance 18 du prêt 77120 : part intérêts,certaine,,,6311,,2433.43,0.00,
P-24,ANO-30,2026-08-05,OD,Échéance 18 du prêt 77120 : part intérêts,certaine,,,1481,,0.00,2433.43,
P-25,ANO-31,2026-08-12,OD,Immobilisation ordinateur portable Dell (IMM-007) + TVA sur immobilisation,apres_reponse_client,Q02,,2355,,14500.00,0.00,
P-25,ANO-31,2026-08-12,OD,Immobilisation ordinateur portable Dell (IMM-007) + TVA sur immobilisation,apres_reponse_client,Q02,,34551,,2900.00,0.00,
P-25,ANO-31,2026-08-12,OD,Immobilisation ordinateur portable Dell (IMM-007) + TVA sur immobilisation,apres_reponse_client,Q02,,61253,,0.00,14500.00,
P-25,ANO-31,2026-08-12,OD,Immobilisation ordinateur portable Dell (IMM-007) + TVA sur immobilisation,apres_reponse_client,Q02,,34552,,0.00,2900.00,
P-26,ANO-32,2026-08-12,OD,MacBook à usage personnel du gérant — compte courant associé débiteur,apres_reponse_client,Q02,,3463,,17400.00,0.00,Écriture + ALERTE JURIDIQUE : compte courant débiteur interdit en SARL → escalade expert-comptable.
P-26,ANO-32,2026-08-12,OD,MacBook à usage personnel du gérant — compte courant associé débiteur,apres_reponse_client,Q02,,61253,,0.00,14500.00,Écriture + ALERTE JURIDIQUE : compte courant débiteur interdit en SARL → escalade expert-comptable.
P-26,ANO-32,2026-08-12,OD,MacBook à usage personnel du gérant — compte courant associé débiteur,apres_reponse_client,Q02,,34552,,0.00,2900.00,Écriture + ALERTE JURIDIQUE : compte courant débiteur interdit en SARL → escalade expert-comptable.
P-27,ANO-33,2026-08-31,OD,Dotations aux amortissements — août 2026,certaine,,,6193,,12758.34,0.00,
P-27,ANO-33,2026-08-31,OD,Dotations aux amortissements — août 2026,certaine,,,2834,,0.00,10666.67,
P-27,ANO-33,2026-08-31,OD,Dotations aux amortissements — août 2026,certaine,,,28351,,0.00,500.00,
P-27,ANO-33,2026-08-31,OD,Dotations aux amortissements — août 2026,certaine,,,28355,,0.00,1591.67,
P-28,ANO-34,2026-08-31,OD,Variation de stock de marchandises — inventaire 31/08,apres_reponse_client,Q07,,3111,,67350.00,0.00,
P-28,ANO-34,2026-08-31,OD,Variation de stock de marchandises — inventaire 31/08,apres_reponse_client,Q07,,6114,,0.00,67350.00,
P-29,ANO-35,2026-08-31,OD,"Réévaluation dette USD Shenzhen au cours BAM 31/08 (8 000 × 9,31) + provision",certaine,,2026-09-01,3702,,1040.00,0.00,
P-29,ANO-35,2026-08-31,OD,"Réévaluation dette USD Shenzhen au cours BAM 31/08 (8 000 × 9,31) + provision",certaine,,2026-09-01,44110002,F002,0.00,1040.00,
P-29,ANO-35,2026-08-31,OD,"Réévaluation dette USD Shenzhen au cours BAM 31/08 (8 000 × 9,31) + provision",certaine,,2026-09-01,6393,,1040.00,0.00,
P-29,ANO-35,2026-08-31,OD,"Réévaluation dette USD Shenzhen au cours BAM 31/08 (8 000 × 9,31) + provision",certaine,,2026-09-01,4506,,0.00,1040.00,
P-30,ANO-36,2026-08-31,OD,TVA non déductible — carburant véhicule de tourisme,certaine,,,6125,,100.00,0.00,
P-30,ANO-36,2026-08-31,OD,TVA non déductible — carburant véhicule de tourisme,certaine,,,34552,,0.00,100.00,
P-31,ANO-37,2026-08-31,OD,TVA non déductible — réception restaurant Dar Mima,certaine,,,61436,,120.00,0.00,
P-31,ANO-37,2026-08-31,OD,TVA non déductible — réception restaurant Dar Mima,certaine,,,34552,,0.00,120.00,
P-32,ANO-39,2026-08-31,OD,Déclaration de TVA août 2026 (régime encaissement),certaine,,,4455,,55000.00,0.00,
P-32,ANO-39,2026-08-31,OD,Déclaration de TVA août 2026 (régime encaissement),certaine,,,34552,,0.00,46283.49,
P-32,ANO-39,2026-08-31,OD,Déclaration de TVA août 2026 (régime encaissement),certaine,,,34551,,0.00,2900.00,
P-32,ANO-39,2026-08-31,OD,Déclaration de TVA août 2026 (régime encaissement),certaine,,,4456,,0.00,5816.51,
P-33,ANO-40,2026-08-31,OD,Paie août 2026,certaine,,,61711,,59400.00,0.00,
P-33,ANO-40,2026-08-31,OD,Paie août 2026,certaine,,,4441,,0.00,2928.36,
P-33,ANO-40,2026-08-31,OD,Paie août 2026,certaine,,,4452,,0.00,4724.25,
P-33,ANO-40,2026-08-31,OD,Paie août 2026,certaine,,,4432,,0.00,51747.39,
P-33,ANO-40,2026-08-31,OD,Paie août 2026,certaine,,,61741,,10372.26,0.00,
P-33,ANO-40,2026-08-31,OD,Paie août 2026,certaine,,,4441,,0.00,10372.26,
P-33,ANO-40,2026-08-31,OD,Paie août 2026,certaine,,,4432,,2000.00,0.00,
P-33,ANO-40,2026-08-31,OD,Paie août 2026,certaine,,,3431,,0.00,2000.00,
P-34,ANO-41,2026-08-31,OD,Majoration de retard CNSS juillet (3 %),certaine,,,6583,,385.81,0.00,
P-34,ANO-41,2026-08-31,OD,Majoration de retard CNSS juillet (3 %),certaine,,,4441,,0.00,385.81,
P-35,ANO-43,2026-08-06,OD,Retenue à la source 15 % sur loyer août (bailleur personne physique),certaine,,,6131,,3000.00,0.00,
P-35,ANO-43,2026-08-06,OD,Retenue à la source 15 % sur loyer août (bailleur personne physique),certaine,,,4452,,0.00,3000.00,
P-36,ANO-44,2026-08-17,OD,Note de frais hôtel payée par le gérant (déplacement Tanger),certaine,,,61431,,2000.00,0.00,
P-36,ANO-44,2026-08-17,OD,Note de frais hôtel payée par le gérant (déplacement Tanger),certaine,,,34552,,200.00,0.00,
P-36,ANO-44,2026-08-17,OD,Note de frais hôtel payée par le gérant (déplacement Tanger),certaine,,,4463,,0.00,2200.00,
