ecriture_id,journal,piece,date_ecriture,date_piece,saisie_le,saisie_par,ligne,compte,compte_libelle,tiers,libelle,debit,credit,devise,montant_devise,taux_change,justificatif,ref_banque
E-2026-08-0007,VTE,FAC-2026-0425,2026-08-05,2026-08-05,2026-08-05T10:00:00,agent.import,1,34210005,Clients — EUROLUX SAS (France),C005,"EUROLUX — export luminaires (EUR 9 500 @ 10,62)",100890.00,0.00,EUR,9500.00,10.6200,FAC_VENTE/FAC-2026-0425_EUROLUX.pdf,
E-2026-08-0007,VTE,FAC-2026-0425,2026-08-05,2026-08-05,2026-08-05T10:00:00,agent.import,2,7113,Ventes de marchandises à l'étranger,,"EUROLUX — export luminaires (EUR 9 500 @ 10,62)",0.00,100890.00,MAD,,,FAC_VENTE/FAC-2026-0425_EUROLUX.pdf,
E-2026-08-0008,BQ1,A03,2026-08-05,2026-08-05,2026-08-05T10:00:00,agent.import,1,51411,Banque Alpha — compte courant,,VIR reçu Anfa Park FAC 2026-0412,118800.00,0.00,MAD,,,,ALPHA:A03
E-2026-08-0008,BQ1,A03,2026-08-05,2026-08-05,2026-08-05T10:00:00,agent.import,2,34210001,Clients — Groupe Immobilier Anfa Park SA,C001,VIR reçu Anfa Park FAC 2026-0412,0.00,118800.00,MAD,,,,ALPHA:A03
E-2026-08-0009,BQ2,O01,2026-08-05,2026-08-05,2026-08-05T10:00:00,agent.import,1,1481,Emprunts auprès des établissements de crédit,,Échéance prêt 77120 n°18,11739.69,0.00,MAD,,,,OMEGA:O01
E-2026-08-0009,BQ2,O01,2026-08-05,2026-08-05,2026-08-05T10:00:00,agent.import,2,51412,Banque Omega — compte courant,,Échéance prêt 77120 n°18,0.00,11739.69,MAD,,,,OMEGA:O01
E-2026-08-0010,BQ1,A04,2026-08-06,2026-08-06,2026-08-06T10:00:00,agent.import,1,6131,Locations et charges locatives,,Loyer août — M. Bennani,17000.00,0.00,MAD,,,,ALPHA:A04
E-2026-08-0010,BQ1,A04,2026-08-06,2026-08-06,2026-08-06T10:00:00,agent.import,2,51411,Banque Alpha — compte courant,,Loyer août — M. Bennani,0.00,17000.00,MAD,,,,ALPHA:A04
E-2026-08-0011,BQ1,A05,2026-08-07,2026-08-07,2026-08-07T10:00:00,agent.import,1,51411,Banque Alpha — compte courant,,VIR reçu Clinique Al Amal,50000.00,0.00,MAD,,,,ALPHA:A05
E-2026-08-0011,BQ1,A05,2026-08-07,2026-08-07,2026-08-07T10:00:00,agent.import,2,34210004,Clients — Clinique Al Amal SA,C004,VIR reçu Clinique Al Amal,0.00,50000.00,MAD,,,,ALPHA:A05
E-2026-08-0012,BQ1,A06,2026-08-08,2026-08-08,2026-08-08T10:00:00,agent.import,1,6147,Services bancaires,,Frais tenue de compte,110.00,0.00,MAD,,,,ALPHA:A06
E-2026-08-0012,BQ1,A06,2026-08-08,2026-08-08,2026-08-08T10:00:00,agent.import,2,51411,Banque Alpha — compte courant,,Frais tenue de compte,0.00,110.00,MAD,,,,ALPHA:A06
E-2026-08-0013,CAI,TK-0808,2026-08-08,2026-08-08,2026-08-08T10:00:00,agent.import,1,6125,Achats non stockés de matières et fournitures (carburant),,Carburant — véhicule 5008 (gérant),500.00,0.00,MAD,,,TICKETS/Ticket_carburant_2026-08-08.pdf,
E-2026-08-0013,CAI,TK-0808,2026-08-08,2026-08-08,2026-08-08T10:00:00,agent.import,2,34552,État — TVA récupérable sur charges,,Carburant — véhicule 5008 (gérant),100.00,0.00,MAD,,,TICKETS/Ticket_carburant_2026-08-08.pdf,
E-2026-08-0013,CAI,TK-0808,2026-08-08,2026-08-08,2026-08-08T10:00:00,agent.import,3,5161,Caisse,,Carburant — véhicule 5008 (gérant),0.00,600.00,MAD,,,TICKETS/Ticket_carburant_2026-08-08.pdf,
E-2026-08-0014,ACH,ED77812,2026-08-09,2026-08-09,2026-08-09T09:12:40,collab.fz,1,6111,Achats de marchandises,,ElectroDistrib — marchandises,178800.00,0.00,MAD,,,,
E-2026-08-0014,ACH,ED77812,2026-08-09,2026-08-09,2026-08-09T09:12:40,collab.fz,2,34552,État — TVA récupérable sur charges,,ElectroDistrib — marchandises,35760.00,0.00,MAD,,,,
E-2026-08-0014,ACH,ED77812,2026-08-09,2026-08-09,2026-08-09T09:12:40,collab.fz,3,44110001,Fournisseurs — ElectroDistrib Maroc SA,F001,ElectroDistrib — marchandises,0.00,214560.00,MAD,,,,
E-2026-08-0015,BQ1,A07,2026-08-11,2026-08-11,2026-08-11T10:00:00,agent.import,1,44110001,Fournisseurs — ElectroDistrib Maroc SA,F001,VIR ElectroDistrib ED-77812,214560.00,0.00,MAD,,,,ALPHA:A07
E-2026-08-0015,BQ1,A07,2026-08-11,2026-08-11,2026-08-11T10:00:00,agent.import,2,51411,Banque Alpha — compte courant,,VIR ElectroDistrib ED-77812,0.00,214560.00,MAD,,,,ALPHA:A07
E-2026-08-0016,ACH,IT-2026-0933,2026-08-12,2026-08-12,2026-08-12T10:00:00,agent.import,1,61253,Achats de petit outillage et petit équipement,,InfoTech — 2 ordinateurs portables,29000.00,0.00,MAD,,,FAC_ACHAT/IT-2026-0933_InfoTech.pdf,
E-2026-08-0016,ACH,IT-2026-0933,2026-08-12,2026-08-12,2026-08-12T10:00:00,agent.import,2,34552,État — TVA récupérable sur charges,,InfoTech — 2 ordinateurs portables,5800.00,0.00,MAD,,,FAC_ACHAT/IT-2026-0933_InfoTech.pdf,
E-2026-08-0016,ACH,IT-2026-0933,2026-08-12,2026-08-12,2026-08-12T10:00:00,agent.import,3,44110010,Fournisseurs — InfoTech Distribution SARL,F010,InfoTech — 2 ordinateurs portables,0.00,34800.00,MAD,,,FAC_ACHAT/IT-2026-0933_InfoTech.pdf,
E-2026-08-0017,BQ1,A08,2026-08-12,2026-08-12,2026-08-12T10:00:00,agent.import,1,44110010,Fournisseurs — InfoTech Distribution SARL,F010,VIR InfoTech IT-2026-0933,34800.00,0.00,MAD,,,,ALPHA:A08
E-2026-08-0017,BQ1,A08,2026-08-12,2026-08-12,2026-08-12T10:00:00,agent.import,2,51411,Banque Alpha — compte courant,,VIR InfoTech IT-2026-0933,0.00,34800.00,MAD,,,,ALPHA:A08
E-2026-08-0018,VTE,FAC-2026-0426,2026-08-12,2026-08-12,2026-08-12T10:00:00,agent.import,1,34210001,Clients — Groupe Immobilier Anfa Park SA,C001,Anfa Park — matériel électrique,72000.00,0.00,MAD,,,FAC_VENTE/FAC-2026-0426_AnfaPark.pdf,
E-2026-08-0018,VTE,FAC-2026-0426,2026-08-12,2026-08-12,2026-08-12T10:00:00,agent.import,2,7111,Ventes de marchandises au Maroc,,Anfa Park — matériel électrique,0.00,60000.00,MAD,,,FAC_VENTE/FAC-2026-0426_AnfaPark.pdf,
E-2026-08-0018,VTE,FAC-2026-0426,2026-08-12,2026-08-12,2026-08-12T10:00:00,agent.import,3,4455,État — TVA facturée,,Anfa Park — matériel électrique,0.00,12000.00,MAD,,,FAC_VENTE/FAC-2026-0426_AnfaPark.pdf,
E-2026-08-0019,CAI,ND-0813,2026-08-13,2026-08-13,2026-08-13T10:00:00,agent.import,1,61436,Réceptions,,Restaurant Dar Mima — déjeuner clients,1200.00,0.00,MAD,,,TICKETS/Note_restaurant_DarMima_2026-08-13.pdf,
E-2026-08-0019,CAI,ND-0813,2026-08-13,2026-08-13,2026-08-13T10:00:00,agent.import,2,34552,État — TVA récupérable sur charges,,Restaurant Dar Mima — déjeuner clients,120.00,0.00,MAD,,,TICKETS/Note_restaurant_DarMima_2026-08-13.pdf,
E-2026-08-0019,CAI,ND-0813,2026-08-13,2026-08-13,2026-08-13T10:00:00,agent.import,3,5161,Caisse,,Restaurant Dar Mima — déjeuner clients,0.00,1320.00,MAD,,,TICKETS/Note_restaurant_DarMima_2026-08-13.pdf,
E-2026-08-0020,BQ1,A09,2026-08-14,2026-08-14,2026-08-14T10:00:00,agent.import,1,51411,Banque Alpha — compte courant,,VIR reçu EUROLUX FAC 2026-0425,100462.50,0.00,MAD,,,,ALPHA:A09
E-2026-08-0020,BQ1,A09,2026-08-14,2026-08-14,2026-08-14T10:00:00,agent.import,2,34210005,Clients — EUROLUX SAS (France),C005,VIR reçu EUROLUX FAC 2026-0425,0.00,100462.50,MAD,,,,ALPHA:A09
E-2026-08-0021,ACH,TE-5498,2026-08-14,2026-08-14,2026-08-14T10:00:00,agent.import,1,6142,Transports,,Transit Express — dédouanement lot LED,10000.00,0.00,MAD,,,FAC_ACHAT/TE-5498_TransitExpress.pdf,
E-2026-08-0021,ACH,TE-5498,2026-08-14,2026-08-14,2026-08-14T10:00:00,agent.import,2,34552,État — TVA récupérable sur charges,,Transit Express — dédouanement lot LED,2000.00,0.00,MAD,,,FAC_ACHAT/TE-5498_TransitExpress.pdf,
E-2026-08-0021,ACH,TE-5498,2026-08-14,2026-08-14,2026-08-14T10:00:00,agent.import,3,44110012,Fournisseurs — Transit Express SARL,F012,Transit Express — dédouanement lot LED,0.00,12000.00,MAD,,,FAC_ACHAT/TE-5498_TransitExpress.pdf,
E-2026-08-0022,CAI,TE-5498,2026-08-16,2026-08-16,2026-08-16T10:00:00,agent.import,1,44110012,Fournisseurs — Transit Express SARL,F012,Règlement espèces Transit Express,12000.00,0.00,MAD,,,,
E-2026-08-0022,CAI,TE-5498,2026-08-16,2026-08-16,2026-08-16T10:00:00,agent.import,2,5161,Caisse,,Règlement espèces Transit Express,0.00,12000.00,MAD,,,,
E-2026-08-0023,BQ1,A11,2026-08-18,2026-08-18,2026-08-18T10:00:00,agent.import,1,44110003,Fournisseurs — REDEC Régie Eau & Électricité,F003,PRLV REDEC juillet,4560.00,0.00,MAD,,,,ALPHA:A11
E-2026-08-0023,BQ1,A11,2026-08-18,2026-08-18,2026-08-18T10:00:00,agent.import,2,51411,Banque Alpha — compte courant,,PRLV REDEC juillet,0.00,4560.00,MAD,,,,ALPHA:A11
E-2026-08-0024,BQ1,A12,2026-08-18,2026-08-18,2026-08-18T10:00:00,agent.import,1,61431,Voyages et déplacements,,Retrait GAB,5000.00,0.00,MAD,,,,ALPHA:A12
E-2026-08-0024,BQ1,A12,2026-08-18,2026-08-18,2026-08-18T10:00:00,agent.import,2,51411,Banque Alpha — compte courant,,Retrait GAB,0.00,5000.00,MAD,,,,ALPHA:A12
E-2026-08-0025,BQ1,A13,2026-08-19,2026-08-19,2026-08-19T10:00:00,agent.import,1,5115,Virements de fonds,,Virement vers Banque Omega,50000.00,0.00,MAD,,,,ALPHA:A13
E-2026-08-0025,BQ1,A13,2026-08-19,2026-08-19,2026-08-19T10:00:00,agent.import,2,51411,Banque Alpha — compte courant,,Virement vers Banque Omega,0.00,50000.00,MAD,,,,ALPHA:A13
E-2026-08-0026,BQ2,O02,2026-08-19,2026-08-19,2026-08-19T10:00:00,agent.import,1,51412,Banque Omega — compte courant,,VIR reçu Atlas Négoce,50000.00,0.00,MAD,,,,OMEGA:O02
E-2026-08-0026,BQ2,O02,2026-08-19,2026-08-19,2026-08-19T10:00:00,agent.import,2,7111,Ventes de marchandises au Maroc,,VIR reçu Atlas Négoce,0.00,50000.00,MAD,,,,OMEGA:O02
E-2026-08-0027,ACH,TE-5521,2026-08-20,2026-08-20,2026-08-20T10:00:00,agent.import,1,6142,Transports,,Transit Express — transport livraisons,3637.60,0.00,MAD,,,FAC_ACHAT/TE-5521_TransitExpress.pdf,
E-2026-08-0027,ACH,TE-5521,2026-08-20,2026-08-20,2026-08-20T10:00:00,agent.import,2,34552,État — TVA récupérable sur charges,,Transit Express — transport livraisons,727.52,0.00,MAD,,,FAC_ACHAT/TE-5521_TransitExpress.pdf,
E-2026-08-0027,ACH,TE-5521,2026-08-20,2026-08-20,2026-08-20T10:00:00,agent.import,3,44110012,Fournisseurs — Transit Express SARL,F012,Transit Express — transport livraisons,0.00,4365.12,MAD,,,FAC_ACHAT/TE-5521_TransitExpress.pdf,
E-2026-08-0028,VTE,FAC-2026-0427,2026-08-20,2026-08-20,2026-08-20T10:00:00,agent.import,1,34210002,Clients — Hôtel Riad Zitoun SARL,C002,Riad Zitoun — contrat maintenance sept. 2026 → févr. 2027,43200.00,0.00,MAD,,,FAC_VENTE/FAC-2026-0427_RiadZitoun.pdf,
E-2026-08-0028,VTE,FAC-2026-0427,2026-08-20,2026-08-20,2026-08-20T10:00:00,agent.import,2,7124,Ventes de services produits au Maroc,,Riad Zitoun — contrat maintenance sept. 2026 → févr. 2027,0.00,36000.00,MAD,,,FAC_VENTE/FAC-2026-0427_RiadZitoun.pdf,
E-2026-08-0028,VTE,FAC-2026-0427,2026-08-20,2026-08-20,2026-08-20T10:00:00,agent.import,3,4455,État — TVA facturée,,Riad Zitoun — contrat maintenance sept. 2026 → févr. 2027,0.00,7200.00,MAD,,,FAC_VENTE/FAC-2026-0427_RiadZitoun.pdf,
E-2026-08-0029,BQ1,A14,2026-08-20,2026-08-20,2026-08-20T10:00:00,agent.import,1,51411,Banque Alpha — compte courant,,VIR reçu Riad Zitoun,43200.00,0.00,MAD,,,,ALPHA:A14
E-2026-08-0029,BQ1,A14,2026-08-20,2026-08-20,2026-08-20T10:00:00,agent.import,2,34210002,Clients — Hôtel Riad Zitoun SARL,C002,VIR reçu Riad Zitoun,0.00,43200.00,MAD,,,,ALPHA:A14
E-2026-08-0030,BQ1,A15,2026-08-21,2026-08-21,2026-08-21T10:00:00,agent.import,1,51411,Banque Alpha — compte courant,,Remise chèque BTP Chaouia,24000.00,0.00,MAD,,,,ALPHA:A15
E-2026-08-0030,BQ1,A15,2026-08-21,2026-08-21,2026-08-21T10:00:00,agent.import,2,34210003,Clients — BTP Chaouia SARL,C003,Remise chèque BTP Chaouia,0.00,24000.00,MAD,,,,ALPHA:A15
E-2026-08-0031,OD,OD-2026-08-0142,2026-08-22,2026-08-22,2026-08-22T11:03:52,collab.fz,1,6133,Entretien et réparations,,Réparation climatisation bureau — Froid Service FS-2231,850.00,0.00,MAD,,,FAC_ACHAT/FS-2231_FroidService.pdf,
E-2026-08-0032,BQ1,A16,2026-08-22,2026-08-22,2026-08-22T10:00:00,agent.import,1,44110002,"Fournisseurs — Shenzhen Brightway Lighting Co., Ltd (USD)",F002,"VIR intl Shenzhen Brightway (USD 12 000 @ 9,26)",111120.00,0.00,USD,12000.00,9.2600,,ALPHA:A16
E-2026-08-0032,BQ1,A16,2026-08-22,2026-08-22,2026-08-22T10:00:00,agent.import,2,51411,Banque Alpha — compte courant,,"VIR intl Shenzhen Brightway (USD 12 000 @ 9,26)",0.00,111120.00,MAD,,,,ALPHA:A16
E-2026-08-0033,BQ1,A17,2026-08-22,2026-08-22,2026-08-22T10:00:00,agent.import,1,6147,Services bancaires,,Commission virement international,330.00,0.00,MAD,,,,ALPHA:A17
E-2026-08-0033,BQ1,A17,2026-08-22,2026-08-22,2026-08-22T10:00:00,agent.import,2,51411,Banque Alpha — compte courant,,Commission virement international,0.00,330.00,MAD,,,,ALPHA:A17
E-2026-08-0034,ACH,ED-78150,2026-08-24,2026-08-24,2026-08-24T10:00:00,agent.import,1,6111,Achats de marchandises,,ElectroDistrib — marchandises,96500.00,0.00,MAD,,,FAC_ACHAT/ED-78150_ElectroDistrib.pdf,
E-2026-08-0034,ACH,ED-78150,2026-08-24,2026-08-24,2026-08-24T10:00:00,agent.import,2,34552,État — TVA récupérable sur charges,,ElectroDistrib — marchandises,19300.00,0.00,MAD,,,FAC_ACHAT/ED-78150_ElectroDistrib.pdf,
E-2026-08-0034,ACH,ED-78150,2026-08-24,2026-08-24,2026-08-24T10:00:00,agent.import,3,44110001,Fournisseurs — ElectroDistrib Maroc SA,F001,ElectroDistrib — marchandises,0.00,115800.00,MAD,,,FAC_ACHAT/ED-78150_ElectroDistrib.pdf,
E-2026-08-0035,BQ2,O03,2026-08-25,2026-08-25,2026-08-25T10:00:00,agent.import,1,44110012,Fournisseurs — Transit Express SARL,F012,VIR Transit Express TE-5521,365.12,0.00,MAD,,,,OMEGA:O03
E-2026-08-0035,BQ2,O03,2026-08-25,2026-08-25,2026-08-25T10:00:00,agent.import,2,51412,Banque Omega — compte courant,,VIR Transit Express TE-5521,0.00,365.12,MAD,,,,OMEGA:O03
E-2026-08-0036,ACH,TN-2026-08,2026-08-26,2026-08-26,2026-08-26T10:00:00,agent.import,1,6145,Frais postaux et frais de télécommunications,,TelcoNet — abonnement août (saisi depuis le prélèvement),2000.00,0.00,MAD,,,,
E-2026-08-0036,ACH,TN-2026-08,2026-08-26,2026-08-26,2026-08-26T10:00:00,agent.import,2,34552,État — TVA récupérable sur charges,,TelcoNet — abonnement août (saisi depuis le prélèvement),400.00,0.00,MAD,,,,
E-2026-08-0036,ACH,TN-2026-08,2026-08-26,2026-08-26,2026-08-26T10:00:00,agent.import,3,44110004,Fournisseurs — TelcoNet SA,F004,TelcoNet — abonnement août (saisi depuis le prélèvement),0.00,2400.00,MAD,,,,
E-2026-08-0037,BQ1,A18,2026-08-26,2026-08-26,2026-08-26T10:00:00,agent.import,1,44110004,Fournisseurs — TelcoNet SA,F004,PRLV TelcoNet,2400.00,0.00,MAD,,,,ALPHA:A18
E-2026-08-0037,BQ1,A18,2026-08-26,2026-08-26,2026-08-26T10:00:00,agent.import,2,51411,Banque Alpha — compte courant,,PRLV TelcoNet,0.00,2400.00,MAD,,,,ALPHA:A18
E-2026-08-0038,BQ1,A19,2026-08-27,2026-08-27,2026-08-27T10:00:00,agent.import,1,4456,État — TVA due,,Paiement TVA juillet 2026,18240.00,0.00,MAD,,,,ALPHA:A19
E-2026-08-0038,BQ1,A19,2026-08-27,2026-08-27,2026-08-27T10:00:00,agent.import,2,51411,Banque Alpha — compte courant,,Paiement TVA juillet 2026,0.00,18240.00,MAD,,,,ALPHA:A19
E-2026-08-0039,BQ1,A20,2026-08-28,2026-08-28,2026-08-28T10:00:00,agent.import,1,4441,Caisse Nationale de Sécurité Sociale,,Paiement CNSS juillet 2026,12860.40,0.00,MAD,,,,ALPHA:A20
E-2026-08-0039,BQ1,A20,2026-08-28,2026-08-28,2026-08-28T10:00:00,agent.import,2,51411,Banque Alpha — compte courant,,Paiement CNSS juillet 2026,0.00,12860.40,MAD,,,,ALPHA:A20
E-2026-08-0040,ACH,TE-5530,2026-08-28,2026-08-28,2026-08-28T10:00:00,agent.import,1,6142,Transports,,Transit Express — livraison Clinique Al Amal,2600.00,0.00,MAD,,,FAC_ACHAT/TE-5530_TransitExpress.pdf,
E-2026-08-0040,ACH,TE-5530,2026-08-28,2026-08-28,2026-08-28T10:00:00,agent.import,2,34552,État — TVA récupérable sur charges,,Transit Express — livraison Clinique Al Amal,520.00,0.00,MAD,,,FAC_ACHAT/TE-5530_TransitExpress.pdf,
E-2026-08-0040,ACH,TE-5530,2026-08-28,2026-08-28,2026-08-28T10:00:00,agent.import,3,44110012,Fournisseurs — Transit Express SARL,F012,Transit Express — livraison Clinique Al Amal,0.00,3120.00,MAD,,,FAC_ACHAT/TE-5530_TransitExpress.pdf,
E-2026-08-0041,BQ1,CHQ-0004521,2026-08-28,2026-08-28,2026-08-28T10:00:00,agent.import,1,44110012,Fournisseurs — Transit Express SARL,F012,Chèque n° 0004521 remis à Transit Express,3120.00,0.00,MAD,,,,
E-2026-08-0041,BQ1,CHQ-0004521,2026-08-28,2026-08-28,2026-08-28T10:00:00,agent.import,2,51411,Banque Alpha — compte courant,,Chèque n° 0004521 remis à Transit Express,0.00,3120.00,MAD,,,,
E-2026-08-0042,BQ1,A21,2026-08-29,2026-08-29,2026-08-29T10:00:00,agent.import,1,51411,Banque Alpha — compte courant,,VIR reçu Clinique Al Amal solde,46000.00,0.00,MAD,,,,ALPHA:A21
E-2026-08-0042,BQ1,A21,2026-08-29,2026-08-29,2026-08-29T10:00:00,agent.import,2,34210004,Clients — Clinique Al Amal SA,C004,VIR reçu Clinique Al Amal solde,0.00,46000.00,MAD,,,,ALPHA:A21
E-2026-08-0043,BQ1,A22,2026-08-29,2026-08-29,2026-08-29T10:00:00,agent.import,1,51411,Banque Alpha — compte courant,,VIR reçu Anfa Park FAC 0426,71982.00,0.00,MAD,,,,ALPHA:A22
E-2026-08-0043,BQ1,A22,2026-08-29,2026-08-29,2026-08-29T10:00:00,agent.import,2,34210001,Clients — Groupe Immobilier Anfa Park SA,C001,VIR reçu Anfa Park FAC 0426,0.00,71982.00,MAD,,,,ALPHA:A22
E-2026-08-0044,VTE,FAC-2026-0429,2026-08-30,2026-08-30,2026-08-30T10:00:00,agent.import,1,34210001,Clients — Groupe Immobilier Anfa Park SA,C001,Anfa Park — accessoires,9600.00,0.00,MAD,,,FAC_VENTE/FAC-2026-0429_AnfaPark.pdf,
E-2026-08-0044,VTE,FAC-2026-0429,2026-08-30,2026-08-30,2026-08-30T10:00:00,agent.import,2,7111,Ventes de marchandises au Maroc,,Anfa Park — accessoires,0.00,8000.00,MAD,,,FAC_VENTE/FAC-2026-0429_AnfaPark.pdf,
E-2026-08-0044,VTE,FAC-2026-0429,2026-08-30,2026-08-30,2026-08-30T10:00:00,agent.import,3,4455,État — TVA facturée,,Anfa Park — accessoires,0.00,1600.00,MAD,,,FAC_VENTE/FAC-2026-0429_AnfaPark.pdf,
E-2026-08-0045,BQ1,RCHQ-0831,2026-08-31,2026-08-31,2026-08-31T10:00:00,agent.import,1,51411,Banque Alpha — compte courant,,Remise chèque n° 551903 Anfa Park (bordereau 0831),9600.00,0.00,MAD,,,,
E-2026-08-0045,BQ1,RCHQ-0831,2026-08-31,2026-08-31,2026-08-31T10:00:00,agent.import,2,34210001,Clients — Groupe Immobilier Anfa Park SA,C001,Remise chèque n° 551903 Anfa Park (bordereau 0831),0.00,9600.00,MAD,,,,
E-2026-08-0046,BQ1,A25,2026-08-31,2026-08-31,2026-08-31T10:00:00,agent.import,1,51411,Banque Alpha — compte courant,,VIR reçu REF 88213 — à identifier,7500.00,0.00,MAD,,,,ALPHA:A25
E-2026-08-0046,BQ1,A25,2026-08-31,2026-08-31,2026-08-31T10:00:00,agent.import,2,4497,Comptes transitoires ou d'attente — créditeurs,,VIR reçu REF 88213 — à identifier,0.00,7500.00,MAD,,,,ALPHA:A25
E-2026-08-0047,BQ1,A26,2026-08-31,2026-08-31,2026-08-31T10:00:00,agent.import,1,4432,Rémunérations dues au personnel,,Virement salaires août,49747.39,0.00,MAD,,,,ALPHA:A26
E-2026-08-0047,BQ1,A26,2026-08-31,2026-08-31,2026-08-31T10:00:00,agent.import,2,51411,Banque Alpha — compte courant,,Virement salaires août,0.00,49747.39,MAD,,,,ALPHA:A26
